,model,km,cost
0,2015 Honda Brio 1.2 VX AT I VTEC,"23,037kmPetrol2nd Owner","₹ 3,89,799"
1,2017 Maruti Swift VXI,"12,848kmPetrol1st Owner","₹ 4,68,899"
2,2017 Maruti Alto 800 LXI,"8,501kmPetrol1st Owner","₹ 3,09,499"
3,2017 Hyundai Grand i10 Sportz(O) 1.2 MT,"19,994kmPetrol2nd Owner","₹ 4,52,899"
4,2015 Maruti Alto K10 LXI,"10,957kmPetrol1st Owner","₹ 3,02,099"
5,2019 Maruti Baleno SIGMA 1.2 K12,"14,584kmPetrol1st Owner","₹ 5,05,099"
6,2019 Maruti Swift LXI,"8,997kmPetrol1st Owner","₹ 5,15,199"
7,2014 Maruti Ritz VDI Elate Limited Edition,"29,959kmDiesel1st Owner","₹ 3,79,699"
8,2017 Maruti Swift LXI OPT,"15,528kmPetrol1st Owner","₹ 4,54,399"
9,2013 Maruti Swift VDI,"11,019kmDiesel1st Owner","₹ 3,71,399"
10,2016 Mahindra Kuv100 K6+ 6 STR,"13,499kmPetrol1st Owner","₹ 3,91,899"
11,2017 Maruti Alto K10 VXI (O) AMT,"9,036kmPetrol1st Owner","₹ 3,60,699"
12,2010 Maruti Alto LXI,"29,645kmPetrol1st Owner","₹ 1,85,299"
13,2012 Maruti Swift LXI,"31,999kmPetrol1st Owner","₹ 3,21,499"
14,2010 Maruti Swift VXI,"27,473kmPetrol1st Owner","₹ 2,70,899"
15,2012 Honda City V MT PETROL,"54,643kmPetrol1st Owner","₹ 4,19,199"
16,2014 Maruti Alto 800 LXI,"31,745kmPetrol1st Owner","₹ 2,58,999"
17,2017 Maruti Swift VDI ABS,"16,646kmDiesel1st Owner","₹ 4,79,299"
18,2012 Maruti Swift ZXI,"15,538kmPetrol1st Owner","₹ 4,44,699"
19,2012 Honda Brio 1.2 S MT I VTEC,"39,831kmPetrol2nd Owner","₹ 2,81,799"
20,2013 Maruti Swift Dzire VDI BS IV,"44,284kmDiesel1st Owner","₹ 3,75,499"
21,2013 Hyundai Grand i10 MAGNA 1.2 VTVT,"40,273kmPetrol1st Owner","₹ 3,43,299"
22,2019 Maruti Swift VXI,"14,327kmPetrol1st Owner","₹ 5,56,199"
23,2009 Maruti Wagon R LXI MINOR,"36,035kmPetrol1st Owner","₹ 1,67,899"
24,2016 Maruti Alto 800 LXI,"21,305kmPetrol1st Owner","₹ 3,05,899"
25,2017 Maruti Alto K10 VXI (O) AMT,"20,764kmPetrol2nd Owner","₹ 3,69,299"
26,2012 Maruti Swift VXI,"34,092kmPetrol1st Owner","₹ 3,29,399"
27,2011 Maruti Zen Estilo LXI,"39,300kmPetrol2nd Owner","₹ 1,97,599"
28,2010 Maruti Alto LXI,"56,231kmPetrol2nd Owner","₹ 1,74,199"
29,2021 Maruti Alto VXI,"1,473kmPetrol1st Owner","₹ 3,80,299"
30,2010 Maruti A Star VXI ABS AT,"24,699kmPetrol1st Owner","₹ 2,31,799"
31,2011 Toyota Etios VX,"49,654kmPetrol2nd Owner","₹ 3,16,399"
32,2011 Maruti Alto K10 VXI,"24,353kmPetrol1st Owner","₹ 2,08,799"
33,2013 Maruti Alto K10 VXI,"36,750kmPetrol1st Owner","₹ 2,10,699"
34,2013 Maruti Swift Dzire VDI BS IV,"39,947kmDiesel1st Owner","₹ 4,02,599"
35,2015 Maruti Swift VDI ABS,"29,903kmDiesel1st Owner","₹ 4,47,099"
36,2013 Maruti Swift VDI,"50,647kmDiesel2nd Owner","₹ 3,42,499"
37,2012 Maruti Alto K10 LXI,"33,175kmPetrol1st Owner","₹ 2,40,799"
38,2020 Maruti IGNIS SIGMA 1.2 K12,"2,206kmPetrol1st Owner","₹ 5,04,099"
39,2012 Maruti Swift VDI,"35,969kmDiesel1st Owner","₹ 3,25,099"
40,2010 Maruti Zen Estilo VXI,"50,189kmPetrol2nd Owner","₹ 1,73,499"
41,2016 Maruti Baleno DELTA 1.2 K12,"35,013kmPetrol1st Owner","₹ 4,59,099"
42,2013 Maruti Swift Dzire VXI 1.2 BS IV,"43,289kmPetrol1st Owner","₹ 3,89,099"
43,2013 Hyundai Grand i10 MAGNA 1.2 VTVT,"43,986kmPetrol1st Owner","₹ 3,82,299"
44,2014 Maruti Swift VXI,"37,333kmPetrol1st Owner","₹ 4,12,899"
45,2012 Maruti Swift VDI,"47,140kmDiesel1st Owner","₹ 3,26,099"
46,2010 Maruti Ritz LXI,"26,740kmPetrol1st Owner","₹ 2,41,999"
47,2010 Maruti Wagon R 1.0 LXI,"45,029kmPetrol1st Owner","₹ 1,85,999"
48,2016 Maruti Alto 800 VXI,"24,069kmPetrol1st Owner","₹ 3,30,899"
49,2019 Renault Kwid 1.0 RXT Opt,"15,629kmPetrol1st Owner","₹ 3,68,099"
50,2017 Maruti Alto K10 VXI,"18,905kmPetrol1st Owner","₹ 3,40,799"
51,2011 Maruti A Star LXI,"53,953kmPetrol1st Owner","₹ 1,86,599"
52,2014 Maruti Celerio VXI,"43,574kmPetrol1st Owner","₹ 3,00,399"
53,2016 Maruti Alto K10 LXI,"32,519kmPetrol1st Owner","₹ 2,97,699"
54,2020 Maruti Baleno DELTA 1.2 K12,"3,920kmPetrol1st Owner","₹ 6,28,599"
55,2013 Maruti Swift LXI,"43,265kmPetrol3rd Owner","₹ 3,36,799"
56,2015 Hyundai Elite i20 SPORTZ (O) 1.4,"58,080kmDiesel2nd Owner","₹ 5,06,199"
57,2013 Maruti Swift ZDI,"24,022kmDiesel1st Owner","₹ 3,94,199"
58,2013 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"43,969kmPetrol1st Owner","₹ 3,80,499"
59,2010 Maruti Ritz ZXI,"41,832kmPetrol1st Owner","₹ 2,51,999"
60,2017 Maruti Alto 800 LXI,"23,227kmPetrol1st Owner","₹ 2,67,199"
61,2009 Maruti A Star LXI,"30,403kmPetrol1st Owner","₹ 1,70,799"
62,2014 Hyundai Elite i20 MAGNA 1.4 CRDI,"56,402kmDiesel1st Owner","₹ 4,47,099"
63,2012 Maruti Swift Dzire VDI BS IV,"42,478kmDiesel2nd Owner","₹ 3,38,499"
64,2013 Maruti Wagon R 1.0 VXI,"36,501kmPetrol2nd Owner","₹ 2,52,399"
65,2017 Maruti Alto K10 VXI,"30,113kmPetrol1st Owner","₹ 3,06,999"
66,2015 Maruti Swift VXI,"56,548kmPetrol1st Owner","₹ 3,76,299"
67,2015 Hyundai Elite i20 ASTA 1.2,"47,354kmPetrol1st Owner","₹ 5,16,299"
68,2015 Hyundai Elite i20 ASTA 1.2,"21,236kmPetrol1st Owner","₹ 5,43,599"
69,2015 Maruti Alto K10 VXI,"46,683kmPetrol1st Owner","₹ 2,63,399"
70,2016 Maruti Alto 800 VXI,"32,339kmPetrol1st Owner","₹ 2,69,599"
71,2016 Maruti Alto 800 LXI,"30,140kmPetrol1st Owner","₹ 2,90,999"
72,2012 Maruti Ritz VDI,"41,213kmDiesel1st Owner","₹ 2,43,799"
73,2014 Maruti Alto 800 VXI,"42,796kmPetrol1st Owner","₹ 2,42,099"
74,2013 Maruti Alto 800 LXI,"64,338kmPetrol1st Owner","₹ 1,84,799"
75,2010 Maruti Ritz LXI,"55,198kmPetrol1st Owner","₹ 1,87,699"
76,2009 Maruti Alto LXI,"35,919kmPetrol1st Owner","₹ 1,71,699"
77,2017 Tata Tiago XZ 1.2 REVOTRON,"29,685kmPetrol2nd Owner","₹ 3,72,599"
78,2011 Maruti Ritz VXI BS IV,"59,945kmPetrol3rd Owner","₹ 2,58,399"
79,2011 Hyundai i10 MAGNA 1.1 IRDE2,"29,101kmPetrol3rd Owner","₹ 2,38,999"
80,2016 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,"21,898kmPetrol1st Owner","₹ 3,85,299"
81,2016 Renault Kwid RXT,"27,806kmPetrol2nd Owner","₹ 2,64,799"
82,2012 Maruti Swift Dzire VDI BS IV,"82,064kmDiesel1st Owner","₹ 3,40,399"
83,2010 Maruti Ritz LXI,"54,953kmPetrol1st Owner","₹ 2,42,699"
84,2020 Volkswagen Polo COMFORTLINE PLUS 1.0,"14,468kmPetrol1st Owner","₹ 6,01,899"
85,2012 Maruti Swift Dzire ZDI,"52,072kmDiesel1st Owner","₹ 3,60,499"
86,2010 Honda City S MT PETROL,"47,405kmPetrol1st Owner","₹ 3,56,799"
87,2018 Maruti Alto K10 VXI,"3,212kmPetrol1st Owner","₹ 3,67,999"
88,2014 Maruti Alto 800 VXI,"37,134kmPetrol1st Owner","₹ 2,56,399"
89,2014 Maruti Alto K10 VXI,"51,228kmPetrol1st Owner","₹ 2,60,499"
90,2011 Maruti Alto K10 LXI,"70,345kmPetrol1st Owner","₹ 1,66,799"
91,2011 Maruti Alto K10 VXI,"51,523kmPetrol1st Owner","₹ 2,28,799"
92,2015 Honda Brio 1.2 S MT I VTEC,"58,396kmPetrol2nd Owner","₹ 3,40,899"
93,2012 Honda Brio 1.2 V MT I VTEC,"58,581kmPetrol1st Owner","₹ 2,33,099"
94,2012 Ford Figo 1.4 LXI DURATORQ,"61,510kmDiesel1st Owner","₹ 2,04,799"
95,2015 Maruti Swift VDI ABS,"37,481kmDiesel1st Owner","₹ 4,11,999"
96,2014 Maruti Swift LXI,"23,888kmPetrol1st Owner","₹ 4,51,299"
97,2014 Maruti Swift VXI,"61,261kmPetrol2nd Owner","₹ 3,79,099"
98,2012 Maruti Swift LXI,"65,916kmPetrol1st Owner","₹ 3,24,399"
99,2019 Maruti Celerio VXI,"11,873kmPetrol1st Owner","₹ 3,87,299"
100,2013 Honda Amaze 1.5 SMT I DTEC,"56,121kmDiesel1st Owner","₹ 2,81,299"
101,2009 Maruti Alto LXI,"57,864kmPetrol1st Owner","₹ 1,43,199"
102,2014 Maruti Swift Dzire VDI BS IV,"49,118kmDiesel1st Owner","₹ 3,70,999"
103,2010 Maruti Alto K10 VXI,"63,843kmPetrol3rd Owner","₹ 1,73,799"
104,2010 Hyundai i10 MAGNA 1.2,"29,993kmPetrol1st Owner","₹ 2,13,799"
105,2010 Maruti Alto LXI,"55,374kmPetrol2nd Owner","₹ 1,68,299"
106,2008 Maruti Wagon R LXI MINOR,"56,724kmPetrol1st Owner","₹ 1,75,499"
107,2016 Renault Kwid RXT Opt,"58,624kmPetrol1st Owner","₹ 2,39,599"
108,2017 Renault Kwid RXL1.0 EASY-R AT,"32,258kmPetrol1st Owner","₹ 2,94,599"
109,2010 Hyundai i10 ERA 1.1 IRDE,"37,419kmPetrol2nd Owner","₹ 2,21,499"
110,2017 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"35,013kmPetrol2nd Owner","₹ 4,28,399"
111,2015 Honda Brio 1.2 VX AT I VTEC,"22,774kmPetrol1st Owner","₹ 4,20,599"
112,2013 Maruti Swift VDI,"45,478kmDiesel1st Owner","₹ 3,29,299"
113,2017 Maruti Dzire VXI,"32,466kmPetrol1st Owner","₹ 5,94,199"
114,2015 Maruti Swift VDI ABS,"63,435kmDiesel1st Owner","₹ 4,15,199"
115,2010 Honda City S MT PETROL,"35,578kmPetrol1st Owner","₹ 3,83,099"
116,2015 Hyundai Creta 1.4 S CRDI,"32,524kmDiesel1st Owner","₹ 7,10,699"
117,2010 Honda City S MT PETROL,"62,808kmPetrol1st Owner","₹ 3,99,799"
118,2013 Maruti Swift VDI,"58,850kmDiesel1st Owner","₹ 3,30,099"
119,2011 Maruti Wagon R 1.0 LXI,"59,276kmPetrol2nd Owner","₹ 2,25,299"
120,2016 Maruti Alto 800 LXI,"36,717kmPetrol1st Owner","₹ 2,82,499"
121,2016 Maruti Vitara Brezza VDI,"33,572kmDiesel1st Owner","₹ 6,93,899"
122,2012 Toyota Etios Liva GD,"61,443kmDiesel1st Owner","₹ 3,04,899"
123,2016 Tata Tiago XM 1.2 REVOTRON,"43,387kmPetrol1st Owner","₹ 3,23,099"
124,2013 Maruti Ertiga VDI ABS,"51,981kmDiesel1st Owner","₹ 4,75,999"
125,2015 Maruti Alto K10 VXI,"49,105kmPetrol1st Owner","₹ 2,63,899"
126,2018 Renault Kwid RXT Opt,"32,716kmPetrol2nd Owner","₹ 2,97,999"
127,2011 Hyundai i10 SPORTZ 1.2 KAPPA2,"53,077kmPetrol1st Owner","₹ 2,65,699"
128,2012 Maruti Swift Dzire VDI BS IV,"79,776kmDiesel1st Owner","₹ 3,36,299"
129,2012 Maruti Swift Dzire VDI BS IV,"68,930kmDiesel1st Owner","₹ 3,02,999"
130,2015 Hyundai Elite i20 MAGNA 1.4 CRDI,"52,659kmDiesel2nd Owner","₹ 4,44,399"
131,2019 Maruti Baleno DELTA 1.2 K12,"14,977kmPetrol1st Owner","₹ 6,53,699"
132,2014 Volkswagen Polo COMFORTLINE 1.5L DIESEL,"60,020kmDiesel1st Owner","₹ 3,54,099"
133,2009 Maruti Alto LXI,"55,752kmPetrol1st Owner","₹ 1,43,799"
134,2020 Renault Kwid RXL,"12,549kmPetrol1st Owner","₹ 3,65,699"
135,2018 Renault Kwid RXL,"32,703kmPetrol1st Owner","₹ 2,75,999"
136,2008 Maruti Swift Dzire VXI 1.3,"58,317kmPetrol2nd Owner","₹ 1,96,499"
137,2013 Hyundai Verna FLUIDIC 1.6 SX CRDI,"73,591kmDiesel1st Owner","₹ 4,25,699"
138,2009 Honda Jazz 1.2 BASE I VTEC,"75,136kmPetrol2nd Owner","₹ 2,08,799"
139,2015 Renault Kwid RXT,"54,227kmPetrol1st Owner","₹ 2,51,199"
140,2013 Maruti Swift VDI,"66,350kmDiesel1st Owner","₹ 3,11,399"
141,2015 Maruti Alto 800 LXI,"50,024kmPetrol1st Owner","₹ 2,66,999"
142,2011 Maruti Ritz VXI BS IV,"76,919kmPetrol1st Owner","₹ 2,42,799"
143,2016 Hyundai Grand i10 1.2 ASTA (O) AT,"48,934kmPetrol1st Owner","₹ 4,43,699"
144,2010 Maruti Alto LXI,"70,239kmPetrol1st Owner","₹ 1,50,499"
145,2011 Hyundai i10 MAGNA 1.1 IRDE2,"66,492kmPetrol1st Owner","₹ 2,57,299"
146,2016 Maruti Vitara Brezza VDI,"29,262kmDiesel1st Owner","₹ 6,47,599"
147,2013 Maruti Swift VDI,"68,546kmDiesel1st Owner","₹ 3,46,899"
148,2015 Maruti Alto K10 VXI,"57,955kmPetrol1st Owner","₹ 2,63,699"
149,2012 Volkswagen Polo COMFORTLINE 1.2L DIESEL,"69,584kmDiesel1st Owner","₹ 3,26,699"
150,2008 Maruti Swift Dzire VXI,"89,412kmPetrol2nd Owner","₹ 1,77,899"
151,2008 Hyundai i10 SPORTZ 1.2,"66,404kmPetrol1st Owner","₹ 1,72,299"
152,2016 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"35,754kmPetrol2nd Owner","₹ 4,50,199"
153,2010 Maruti Swift Dzire VXI,"61,308kmPetrol1st Owner","₹ 2,82,899"
154,2012 Honda City V MT SUNROOF,"68,161kmPetrol1st Owner","₹ 4,53,099"
155,2015 Maruti Swift VDI ABS,"61,216kmDiesel2nd Owner","₹ 4,10,499"
156,2009 Maruti A Star VXI,"62,155kmPetrol1st Owner","₹ 1,64,799"
157,2015 Hyundai Elite i20 ASTA 1.2,"55,683kmPetrol1st Owner","₹ 5,48,199"
158,2018 Honda Jazz 1.2 V AT,"20,232kmPetrol1st Owner","₹ 5,97,799"
159,2015 Toyota Innova 2.5 GX 8 STR BS IV,"45,613kmDiesel1st Owner","₹ 8,34,499"
160,2012 Maruti Swift Dzire VDI BS IV,"94,644kmDiesel1st Owner","₹ 3,07,199"
161,2018 Maruti Baleno DELTA 1.2 K12,"28,821kmPetrol1st Owner","₹ 5,20,399"
162,2014 Renault Duster 85 PS RXL,"67,522kmDiesel2nd Owner","₹ 3,71,399"
163,2016 Hyundai Elite i20 1.4 CRDI ASTA (O),"44,364kmDiesel2nd Owner","₹ 5,46,199"
164,2017 Maruti Alto 800 LXI,"65,151kmPetrol1st Owner","₹ 2,87,399"
165,2012 Ford Fiesta TITANIUM DIESEL,"68,356kmDiesel2nd Owner","₹ 3,02,499"
166,2013 Maruti Swift VDI,"63,561kmDiesel1st Owner","₹ 3,50,599"
167,2012 Maruti Swift LXI,"67,752kmPetrol2nd Owner","₹ 3,11,899"
168,2011 Hyundai i10 MAGNA 1.2 KAPPA2,"73,012kmPetrol2nd Owner","₹ 2,41,599"
169,2015 Hyundai Elite i20 ASTA 1.2,"59,466kmPetrol1st Owner","₹ 5,05,899"
170,2008 Maruti SX4 VXI,"68,597kmPetrol2nd Owner","₹ 1,76,999"
171,2013 Maruti Swift Dzire VDI BS IV,"63,949kmDiesel1st Owner","₹ 3,49,399"
172,2014 Maruti Ritz ZXI,"58,664kmPetrol1st Owner","₹ 3,26,499"
173,2015 Maruti Swift VDI ABS,"59,849kmDiesel1st Owner","₹ 4,25,399"
174,2009 Maruti Ritz VXI,"62,936kmPetrol1st Owner","₹ 2,39,799"
175,2008 Maruti Swift LXI 1.3,"86,350kmPetrol1st Owner","₹ 1,89,999"
176,2018 Maruti Ciaz DELTA 1.4 VVT AT,"20,258kmPetrol1st Owner","₹ 7,63,699"
177,2016 Maruti Celerio ZXI,"72,059kmPetrol1st Owner","₹ 3,52,499"
178,2015 Honda Amaze 1.2 SMT I VTEC,"62,045kmPetrol1st Owner","₹ 4,38,599"
179,2014 Toyota Etios Liva D-4D VXD,"59,700kmDiesel2nd Owner","₹ 3,74,799"
180,2013 Maruti Swift Dzire VDI BS IV,"62,602kmDiesel1st Owner","₹ 3,46,199"
181,2015 Mahindra Scorpio S10,"70,049kmDiesel1st Owner","₹ 8,73,299"
182,2011 Honda CRV 2.4 AT,"71,014kmPetrol2nd Owner","₹ 5,17,499"
183,2008 Maruti Alto LXI,"58,267kmPetrol1st Owner","₹ 1,09,699"
184,2014 Maruti Swift VDI,"64,031kmDiesel1st Owner","₹ 4,03,899"
185,2010 Maruti Zen Estilo LXI,"66,275kmPetrol2nd Owner","₹ 1,79,099"
186,2011 Hyundai i10 MAGNA 1.2 KAPPA2,"85,761kmPetrol1st Owner","₹ 2,04,499"
187,2008 Maruti Swift LXI 1.3,"61,909kmPetrol1st Owner","₹ 1,96,299"
188,2012 Maruti Swift ZDI,"80,936kmDiesel1st Owner","₹ 3,09,499"
189,2018 Mahindra Scorpio S11,"85,283kmDiesel2nd Owner","₹ 12,96,499"
190,2013 Toyota Innova 2.5 GX 7 STR BS IV,"69,047kmDiesel1st Owner","₹ 6,26,399"
191,2013 Honda Amaze 1.5 EXMT I DTEC,"72,461kmDiesel1st Owner","₹ 2,86,599"
192,2019 Maruti Ertiga ZXI SMART HYBRID AT,"22,448kmPetrol1st Owner","₹ 9,06,399"
193,2017 Maruti Alto 800 LXI,"41,185kmPetrol1st Owner","₹ 2,89,099"
194,2008 Honda Accord 2.4 MT,"56,382kmPetrol2nd Owner","₹ 2,88,499"
195,2014 Maruti Ritz ZXI ABS,"61,249kmPetrol1st Owner","₹ 3,10,599"
196,2015 Hyundai Verna FLUIDIC 1.6 VTVT S,"54,018kmPetrol4th Owner","₹ 5,05,199"
197,2013 Maruti Swift Dzire ZDI,"67,598kmDiesel2nd Owner","₹ 3,96,099"
198,2019 Maruti Baleno ALPHA 1.2 K12 AMT,"12,745kmPetrol2nd Owner","₹ 7,45,899"
199,2013 Maruti Alto K10 VXI,"63,758kmPetrol3rd Owner","₹ 2,21,599"
200,2012 Hyundai i20 SPORTZ 1.4 CRDI,"85,411kmDiesel2nd Owner","₹ 2,59,799"
201,2012 Maruti Swift ZXI,"70,522kmPetrol1st Owner","₹ 3,99,599"
202,2014 Maruti Swift ZDI,"72,636kmDiesel1st Owner","₹ 4,28,799"
203,2013 Maruti Ritz VDI,"66,549kmDiesel1st Owner","₹ 3,00,499"
204,2015 Maruti Swift ZXI,"67,696kmPetrol1st Owner","₹ 3,81,399"
205,2014 Ford Ecosport 1.5 AMBIENTE TDCI,"59,818kmDiesel1st Owner","₹ 4,22,099"
206,2008 Hyundai i10 MAGNA 1.2,"69,701kmPetrol1st Owner","₹ 1,64,599"
207,2015 Maruti Swift VDI ABS,"63,642kmDiesel1st Owner","₹ 3,93,099"
208,2010 Honda Jazz 1.2 BASE I VTEC,"69,305kmPetrol1st Owner","₹ 3,18,499"
209,2013 Toyota Etios GD,"93,938kmDiesel2nd Owner","₹ 2,89,199"
210,2013 Maruti Swift Dzire VDI,"90,775kmDiesel1st Owner","₹ 3,54,999"
211,2014 Maruti Swift LXI,"61,924kmPetrol1st Owner","₹ 4,20,799"
